artist,album,track,year,lyrics,duration_ms
wilco,Cousin,Infinite Surprise,2023,"3 ContributorsInfinite Surprise Lyrics[Verse 1]
Staring
Eye to eye
Staring
Eye to eye
There's nothing there to see
There's nothing there to see
There's nothing there to see
There's nothing there

[Verse 2]
You're worried
So am I
I'm sorry
I made you cry
You know that's not like me
You know that isn't me
No that's not like me
To make you cry

[Verse 3]
Staring
Eye to eye
Mirror
Eye to eye
If you were only you
If I were only me
If you wеre only you
What would I be
You might also like[Verse 4]
Empty
Sky of mine
Any
Thing can shinе
If you were only you
If I were only me
If you were only you
What would I be

[Chorus]
Infinite surprise
Infinite surprise
Infinite surprise
Infin—

[Verse 5]
Staring
Eye to eye
Mirror
Eye to eye
It's good to be alive
It's good to be alive
It's good to know we die
It's good to know
[Chorus]
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surprise
Infinite surpriseEmbed",343400
wilco,Cousin,Ten Dead,2023,"3 ContributorsTen Dead Lyrics[Verse 1]
I woke up this morning
And I went back to bed
Ten dead, ten dead
Now there are ten dead
Turn on the radio
This is what they said
No more, no more
No more than ten dead

[Verse 2]
Stacking stones
And strands of light
I feel a little bit home
Most of me is out of sight
Hollow honeycomb
I'm tired when the day breaks
I'm tired when the day ends
Righteous, righteous
The way my life will bend
The way my attention bends
The way that my knee bends

[Verse 3]
A scratch on thе cheek
A father to fight
I was too weak, too cold
Mostly night I was, mostly night
Not enough light to hold
Up ovеr the mountains
Down beside the sea
Ten more, eleven more
What's one more to me?
You might also like[Outro]
I woke up this morning and
I went back to bed
Ten dead, ten dead
Now there are ten deadEmbed",235453
wilco,Cousin,Levee,2023,"3 ContributorsLevee Lyrics[Verse 1]
I love the levee by the lake
But the levee is fake
Why worry about the rain and the wind
When I know it comes from within?

[Chorus]
Save me
Save me again
Make me
Make me lose you and then
Save me
Save me again
Make me
Make me use you again

[Verse 2]
I love to take my meds
Like my doctor said
But I worry
If I shouldn't instead

[Chorus]
Let you save me
Save me again
Make mе
Make me use you and thеn
I'll save you
I'll save you again
You'll make me
Make me useful and then
You can save me
Save me again
Make me
Make me lose you again
Save me
I'll save you again
Make me
Make me use you and then
You might also like[Outro]
I can see you thinking
I hear your thoughts
And I love you without thinking
I, I should notEmbed",251387
wilco,Cousin,Evicted,2023,"5 ContributorsEvicted Lyrics[Verse 1]
Oh, I can take a joke but my clothes are all soaked
It's too late to be unclear
I'd laugh until I'd die if it wasn't my life
If it wasn't me in the mirror

[Chorus]
Am I ever gonna see you again?

[Verse 2]
Maybe I'm a whistle on a lonely old train
I'm crying all the time
Listen to the sound getting further away
Fading deep into the night

[Chorus]
Am I ever gonna see you again?
I'm evicted
From your heart
I deserve it

[Bridge]
Black against the shade
Shadow lovers embrace
I look away, I look away
They say heartache
Always fades
I look away, I look away
You might also like[Chorus]
I'm nevеr gonna see you again
I'm evicted
From your heart
I dеserve it

[Verse 3]
Oh, I can take a joke but my clothes are all smoke
It's too cold to be unclear
I'd laugh until I'm old if it wasn't my life
If it wasn't me in the mirror

[Chorus]
I'm never gonna see you again
I'm evicted
From your heart
I deserve it
I'm evicted
From your heart
I deserve it
I deserve it
I deserve itEmbed",209760
wilco,Cousin,Sunlight Ends,2023,"3 ContributorsSunlight Ends Lyrics[Verse 1]
You're not the kind of city street
Anyone can cross
You're the kind of spinning star
That only gets you lost

[Chorus]
You dance
Like the dust in the light
Where the sun comes in
And I'm following
Until the sunlight ends

[Verse 2]
You're not the kind of mountain stream
Anyone can cross
You're the kind of flashing sign
That only gets you lost

[Chorus]
You dance
Like the dust in the light
Where the sun comes in
And I'm following
Until the sunlight ends
You might also like[Verse 3]
You're not the kind of desert sand
Anyone can cross
You're the kind of missing page
That only gets you lost
And you're lost
And I'm lostEmbed",233440
wilco,Cousin,A Bowl and A Pudding,2023,"2 ContributorsA Bowl and A Pudding Lyrics[Verse 1]
Not saying anything (Not saying anything)
Says a lot (Says a lot)
I still see your face (I still see your face)
When you look away (When you look away)

[Chorus]
I can tell (I can tell)
I can tell (I can tell)
I can tell (I can tell)
How long this (How long this)
Night is going to be
(And the one) And the one
(You love) You love
(Is not me) Is not me

[Verse 2]
(Not saying anything) Not saying anything
(Says enough) Says enough
(I know what you're thinking) I know what you're thinking
When you walk away (Walk away)

[Chorus]
I can tell (I can tell)
I can tell (I can tell)
I can tell (I can tell)
How long this night is going to be
(Night is going to be)
And the one (The one)
You love (You love)
Is not me (That's not me)You might also likeEmbed",243493
wilco,Cousin,Cousin,2023,"2 ContributorsCousin Lyrics[Verse 1]
I cut in on you
Oh, what I want
I wouldn't want what I mean to say
I, I'm nothing
I'm cutting on you

[Verse 2]
I'm cutting on you
Oh, what I want
I wouldn't want what I mean to say
I, I'm nothing
My cousin
I'm you

[Chorus]
Led by light
You can't divide
When your red lines
Get crossed with mine
I object to you
Our deal's un-struck

[Bridge]
Oh, what a time to be brave
Walking 'round an empty grave
Oh, we're the dirt you save
To fill an empty grave
You might also like[Verse 3]
What I want
I wouldn't want what I mean to say
I, you're my cousin
My cousin
I'm you
Oh, what I want
I wouldn't want, wouldn't want
I mean to say
I'm nothing
I'm loving
I'm true

[Chorus]
Led by light
You can't divide
When your red lines
Get crossed with mine
I object to you
Our deal's un-struck

[Outro]
It never hurts to cry
It never hurts to cry
It nevеr hurts to cry
It never hurts to cry
The dеad awake in waves
The dead awake in waves
The dead awake in waves
The dead awake in waves
The dead awake in waves
The dead awake in waves
The dead awake in waves
The dead awake in wavesEmbed",250640
wilco,Cousin,Pittsburgh,2023,"2 ContributorsPittsburgh Lyrics[Verse 1]
Oh, I love the rain
And how the rain can turn
Shit into a rose
I overheard the TSA
Going through my clothes
As I wait
For her

[Verse 2]
I've always been afraid to sing
That's a little thing
Somehow, that's all I do
Strange as that seems
I've outlived
My dreams

[Instrumental Break]

[Verse 3]
I empty my suitcase
In the street in the rain
Time slows like a new Van Gogh
Setting fire to the frame
Oh, I'm a flag where the wind won't blow
I'm a kid that never grows
My body lays, never taken away
Is it too true for me to know?
Oh, no
Am I gone
Before I go?You might also likeEmbed",313907
wilco,Cousin,Soldier Child,2023,"3 ContributorsSoldier Child Lyrics[Verse]
So good
To see you
See you again
I'd almost forgotten
What it's like
To be this tired

[Pre-Chorus]
Hold my hand across the table
Act like you're invisible
And not just high
Unavailable
Now that I am

[Chorus]
Over, smiling at you
Wild like a tiger afraid
I fought like a child
Soldier fights to
Forget what it's like
To be home

[Verse]
So good to see you
To see you again
I'd almost forgotten
What it's like
To feel this pain
You might also like[Pre-Chorus]
Hold my hand across the table
Act like you're invisible
Not just high
And unavailable
Now that I am

[Chorus]
Over, smiling at you
Wild like a tiger afraid
I fought like a child
Soldier fights to
Forget what it's like
To be homeEmbed",257347
wilco,Cousin,Meant To Be,2023,"2 ContributorsMeant To Be Lyrics[Verse 1]
If my words say what you meant to say
Doesn't that say we were meant to feel this way?

[Chorus]
Holding our hearts closer together
Keeping to ourselves an empty sea
So we can believe
Our love is meant to be

[Verse 2]
A lonely man throws himself on an open flame
Doesn't that say he should have found another way?

[Chorus]
Hold my heart closer to yours
Vacation is starting
You're not coming home
To me
Do you still believe?
Our love is meant to be
Our love is meant to bе

[Verse 3]
Each day is longer than the one bеfore
Fewer left, less and less, I need you more
You might also like[Chorus]
Telling myself, I can wait forever
Holding my thoughts, far away from never
Keeping to myself, destiny
And I still believe you're the only one
Our love is meant to be
Our love is meant to be
It is to me
It is to meEmbed",235293
